nama_makanan,kalori,protein,lemak,karbo,harga,harga_rp;
Hollandaise Sauce (2 tbsp),110.0,1.0,12.0,0.5,,37500;
Spinach Artichoke Dip (1/4 cup),160.0,5.0,14.0,6.0,,18000;
Tortilla Chips (1 oz),140.0,2.0,7.0,19.0,,45000;
Chicken Kebab (2 skewers),280.0,30.0,14.0,8.0,,18000;
Bell Peppers & Onions (sautéed),60.0,1.5,2.0,10.0,,22000;
Hummus Wrap (large),450.0,15.0,18.0,60.0,,39500;
Kombucha (1 cup),30.0,0.0,0.0,7.0,,18000;
Beef Stroganoff (1.5 cups),550.0,30.0,28.0,40.0,,70500;
Egg Noodles (1 cup cooked),220.0,8.0,3.0,40.0,,24500;
Cottage Cheese (1 cup low fat),160.0,28.0,2.5,6.0,,33000;
Tomato (1 medium sliced),22.0,1.1,0.2,4.8,,41000;
Black Pepper (1 tsp),6.0,0.2,0.1,1.5,,37500;
Chocolate Pudding (1/2 cup),150.0,2.0,4.0,28.0,,18500;
Mackerel (3oz cooked),175.0,16.0,12.0,0.0,,36500;
Collard Greens (1 cup cooked),60.0,5.0,1.0,10.0,,26500;
Ham (3oz deli sliced),110.0,16.0,4.0,2.0,,20500;
Swiss Cheese (1 slice),106.0,7.6,8.0,1.0,,21000;
Rye Bread (1 slice),83.0,2.7,1.1,15.5,,11000;
Potato Leek Soup (1 cup),180.0,4.0,7.0,25.0,,12000;
Brie Cheese (1 oz),95.0,6.0,7.9,0.1,,90000;
Water Cracker (5 crackers),70.0,1.5,1.5,12.0,,15000;
Grapefruit (1/2 medium),52.0,1.1,0.2,13.2,,11000;
Veggie Straws (1 oz),130.0,1.0,7.0,17.0,,38500;
Fish Tacos (2 tacos),420.0,25.0,18.0,40.0,,10000;
Cabbage Slaw (side),60.0,1.0,3.0,8.0,,11500;
Lime (juice of 1),11.0,0.2,0.0,3.7,,22000;
Beer (12 oz light),103.0,0.9,0.0,5.8,,20000;
Danish (Cheese 1 medium),340.0,7.0,18.0,38.0,,69500;
Kefir (Plain 1 cup),104.0,10.0,2.5,10.0,,22500;
Gnocchi (1 cup),210.0,4.5,1.5,45.0,,35500;
Pesto Sauce (1/4 cup),260.0,5.0,26.0,4.0,,8500;
Pine Nuts (1 tbsp),95.0,2.0,10.0,2.0,,11500;
Chai Latte (12 oz),190.0,7.0,4.0,32.0,,16500;
Manicotti (2 shells cheese),380.0,20.0,18.0,35.0,,41500;
Italian Sausage (1 link),200.0,12.0,16.0,3.0,,28500;
Jicama (1 cup sticks),46.0,0.9,0.1,10.6,,25500;
Chili Powder (1 tsp),8.0,0.3,0.4,1.4,,33000;
Ants on a Log (4 pcs),180.0,6.0,12.0,12.0,,12500;
Split Pea Soup (1 cup),180.0,11.0,2.0,30.0,,11000;
Ham & Cheese Croissant,400.0,15.0,22.0,35.0,,23500;
Espresso (double shot),5.0,0.5,0.1,0.0,,14000;
Ricotta Cheese (1/4 cup),85.0,5.5,6.0,2.5,,52500;
Chicken & Rice Soup (1 can),130.0,7.0,3.0,18.0,,28500;
Salt (1/4 tsp),0.0,0.0,0.0,0.0,,33500;
Pickle (1 whole dill),17.0,0.8,0.2,3.7,,29500;
Turkey Chili (1 cup),250.0,22.0,7.0,25.0,,27500;
Sour Cream (2 tbsp),60.0,0.8,5.8,1.3,,17000;
Shredded Cheese (Cheddar 1/4 cup),115.0,7.0,9.5,1.0,,53500;
Matcha Latte (12 oz),180.0,6.0,5.0,28.0,,31000;
Chocolate Donut (1 medium),300.0,4.0,17.0,35.0,,35000;
Tuna Melt,450.0,25.0,25.0,32.0,,63000;
Apple Cider (1 cup),117.0,0.1,0.3,29.0,,36500;
Beef Burrito (large),650.0,30.0,28.0,70.0,,58500;
Pico de Gallo (1/4 cup),15.0,0.5,0.0,3.0,,12500;
Corn Tortilla (1 medium),52.0,1.4,0.7,11.2,,13500;
Mussels (3oz steamed),146.0,20.0,4.0,6.0,,9000;
White Wine Sauce (1/4 cup),80.0,1.0,6.0,4.0,,15500;
French Bread (2 slices),180.0,6.0,1.0,36.0,,12000;
Blackberries (1 cup),62.0,2.0,0.7,13.8,,32500;
Cheese Danish,340.0,7.0,18.0,38.0,,90500;
Chicken Salad Sandwich,420.0,20.0,20.0,35.0,,42500;
Soyrizo (2 oz),140.0,10.0,9.0,6.0,,33500;
Hash Browns (1 cup),330.0,3.0,19.0,38.0,,17000;
Ketchup (1 packet),10.0,0.1,0.0,2.5,,30000;
Philly Cheesesteak (6 inch),500.0,25.0,28.0,40.0,,45500;
Cheese Whiz (2 tbsp),90.0,4.0,7.0,3.0,,60000;
Onions (sautéed 1/4 cup),30.0,0.5,1.0,5.0,,37000;
Raspberries (1 cup),64.0,1.5,0.8,14.7,,12500;
Cheesy Grits (1 cup),210.0,6.0,6.0,34.0,,32000;
Collard Greens (with ham hock),180.0,10.0,9.0,15.0,,34000;
Fried Okra (1 cup),220.0,4.0,12.0,25.0,,8000;
Sweet Tea (16 oz),180.0,0.0,0.0,46.0,,9000;
Gyro (1 sandwich),600.0,25.0,30.0,55.0,,22000;
Pita Bread (White 1 large),220.0,7.0,2.0,45.0,,25500;
Baklava (1 piece),280.0,3.0,18.0,30.0,,6000;
Coconut (shredded 1/4 cup),110.0,1.0,10.5,4.5,,39500;
S'more (1 serving),140.0,2.0,4.0,25.0,,43000;
Graham Cracker (1 large rectangle),60.0,1.0,1.5,11.0,,42000;
Marshmallow (1 large),23.0,0.1,0.0,5.8,,19500;
Chocolate (Hershey's bar 1 segment),25.0,0.3,1.5,3.0,,27000;
Chicken Parm Sandwich,650.0,40.0,30.0,55.0,,39000;
Mozzarella (1 slice),80.0,6.0,6.0,1.0,,39500;
Bread Roll (hoagie),200.0,6.0,2.0,38.0,,11000;
Artichoke (1 medium steamed),60.0,4.2,0.2,13.4,,33500;
Mayonnaise (1 tbsp for dipping),90.0,0.1,10.0,0.1,,21500;
Calamari (fried 3oz),150.0,13.0,7.0,8.0,,36500;
Lemon Wedge (for calamari),3.0,0.1,0.0,1.0,,27500;
Root Beer (1 can),150.0,0.0,0.0,40.0,,30000;
Chicken McNuggets (6 pcs),270.0,15.0,16.0,16.0,,14500;
BBQ Sauce (2 tbsp),60.0,0.5,0.0,15.0,,41500;
Honey (1 tbsp),64.0,0.1,0.0,17.3,,8500;
Tofu Scramble,250.0,20.0,16.0,8.0,,6000;
Turmeric (1 tsp),9.0,0.3,0.1,1.9,,15500;
Nutritional Yeast (1 tbsp),20.0,3.0,0.0,2.0,,38000;
Seitan (3oz),90.0,18.0,1.0,4.0,,36000;
Vegetable Broth (1 cup),15.0,1.0,0.0,3.0,,37500;
Mashed Cauliflower (1 cup),140.0,5.0,8.0,12.0,,16000;
Peanut Sauce (2 tbsp),80.0,2.0,6.0,4.0,,10000;
Tempeh (3oz),160.0,16.0,9.0,8.0,,37000;
Sauerkraut (1/2 cup),14.0,0.7,0.1,3.1,,26000;
Rye Crispbread (2 slices),70.0,2.0,0.5,14.0,,21000;
Capers (1 tbsp),2.0,0.2,0.1,0.4,,26500;
Chicken Liver (2 oz cooked),91.0,13.6,3.6,0.6,,23000;
Onion (1/2 cup raw chopped),32.0,0.9,0.1,7.5,,8500;
Bok Choy (1 cup steamed),10.0,1.5,0.1,2.0,,38000;
Gummy Bears (10 pcs),100.0,2.0,0.0,22.0,,19500;
Whiskey (1.5 oz shot),105.0,0.0,0.0,0.1,,41000;
Dates (2 medium Medjool),133.0,0.8,0.1,36.0,,30000;
Tahini (1 tbsp),89.0,2.6,8.0,3.2,,31500;
Chickpeas (1/2 cup canned),135.0,7.0,2.0,22.0,,20500;
Lettuce (Romaine 2 cups),16.0,1.0,0.3,3.0,,10000;
Italian Dressing (2 tbsp),70.0,0.0,7.0,3.0,,35000;
Turkey Sausage (1 patty),70.0,9.0,4.0,1.0,,34000;
Maple Syrup (1 tbsp),52.0,0.0,0.0,13.5,,42500;
Quesadilla (Cheese 1 medium),400.0,18.0,22.0,35.0,,55000;
Sour Cream (1 tbsp),30.0,0.4,2.9,0.6,,37500;
Salsa (2 tbsp),10.0,0.5,0.0,2.0,,34500;
Red Cabbage (1 cup raw),22.0,1.1,0.1,5.2,,25500;
Duck (3oz roasted),285.0,16.0,24.0,0.0,,13000;
Orange Sauce (1/4 cup for duck),90.0,0.5,0.0,22.0,,37500;
Wild Rice (1 cup cooked),166.0,6.5,0.6,35.0,,6000;
Cupcake (Vanilla 1 medium),240.0,2.0,11.0,35.0,,11500;
Frosting (Vanilla 2 tbsp),140.0,0.0,6.0,22.0,,31500;
Hot Sauce (1 tsp Tabasco),0.0,0.0,0.0,0.0,,32000;
Bison Burger (1 patty),150.0,22.0,7.0,0.0,,7500;
Pretzel Bun (1 medium),230.0,8.0,2.0,45.0,,41500;
Spicy Mustard (1 tbsp),10.0,0.5,0.5,1.0,,41000;
Pasta Salad (1 cup),280.0,8.0,14.0,30.0,,5000;
Pepperoncini (2 peppers),10.0,0.5,0.0,2.0,,11000;
Coconut Milk (1/4 cup canned),111.0,1.1,11.6,2.9,,44500;
Green Curry Paste (1 tbsp),30.0,0.5,2.5,2.0,,25000;
Chicken Thigh (1 roasted),210.0,24.0,13.0,0.0,,38500;
Jasmine Rice (1 cup cooked),205.0,4.3,0.4,45.0,,42000;
Thai Iced Tea (1 glass),250.0,3.0,12.0,35.0,,18500;
Papaya (1 cup cubes),62.0,0.6,0.4,15.7,,35000;
Lime Juice (1 tbsp),4.0,0.1,0.0,1.3,,27500;
Macaroni Salad (1 cup),380.0,8.0,25.0,30.0,,29000;
Celery (1 stalk),6.0,0.3,0.1,1.2,,8500;
Blue Cheese (1 oz),100.0,6.0,8.0,0.7,,64500;
Dark Chocolate (1 oz 70%),170.0,2.2,12.0,13.0,,27000;
Acai Bowl (1 serving),350.0,5.0,12.0,60.0,,41500;
Granola (1/4 cup topping),120.0,3.0,6.0,15.0,,44500;
Coconut Flakes (1 tbsp topping),35.0,0.3,3.3,1.5,,36000;
Honey (1 tsp drizzle),21.0,0.0,0.0,5.8,,29000;
Shrimp Cocktail (4 large shrimp),60.0,10.0,1.0,1.0,,57000;
Cocktail Sauce (2 tbsp),30.0,0.5,0.0,7.0,,11500;
Pork Bun (1 steamed),220.0,8.0,8.0,30.0,,19500;
Dim Sum (Siu Mai 3 pcs),180.0,12.0,10.0,10.0,,5000;
Soy Sauce (1 tbsp for dipping),9.0,1.0,0.0,1.0,,27500;
Oyster (1 medium raw),8.0,1.0,0.2,0.5,,28500;
Mignonette Sauce (1 tbsp),5.0,0.0,0.0,1.0,,24000;
Beef Pho (1 large bowl),450.0,30.0,12.0,55.0,,90000;
Bean Sprouts (1/4 cup garnish),8.0,0.8,0.1,1.5,,29500;
Thai Basil (garnish),1.0,0.1,0.0,0.0,,12000;
Lime Wedge (garnish),3.0,0.1,0.0,1.0,,8000;
Jalapeno (1 tbsp sliced),4.0,0.1,0.1,0.8,,16000;
Hoisin Sauce (1 tbsp),35.0,0.3,0.2,8.0,,37500;
Sriracha (1 tsp),5.0,0.1,0.1,1.0,,14000;
Crepe (1 plain),90.0,3.5,2.0,14.0,,32000;
Nutella (1 tbsp),100.0,1.5,6.0,11.0,,12000;
Powdered Sugar (1 tsp),10.0,0.0,0.0,2.5,,21500;
Sake (3 oz),117.0,0.4,0.0,3.8,,18000;
Edamame (in pod 1 cup),120.0,11.0,5.0,9.0,,17500;
Sea Salt (coarse 1/4 tsp),0.0,0.0,0.0,0.0,,13000;
Biryani (Chicken 1.5 cups),520.0,28.0,18.0,60.0,,30500;
Raita (2 tbsp),30.0,1.0,2.0,2.0,,19000;
Lassi (Mango 1 cup),180.0,5.0,4.0,30.0,,35000;
Samosa (1 piece vegetable),130.0,2.0,6.0,18.0,,17500;
Tamarind Chutney (1 tbsp),20.0,0.1,0.0,5.0,,27000;
Mint Chutney (1 tbsp),5.0,0.2,0.0,0.5,,12000;
Pani Puri (6 pcs),200.0,4.0,5.0,35.0,,32000;
Passion Fruit (1 fruit),17.0,0.4,0.1,4.2,,8000;
Kimchi Jjigae (1 bowl),350.0,15.0,22.0,20.0,,43500;
Silken Tofu (3oz in soup),45.0,5.0,2.5,2.0,,13000;
Pork Belly (1 oz in soup),145.0,3.0,15.0,0.0,,34500;
Gochugaru (1 tsp),10.0,0.3,0.3,1.8,,35000;
Gochujang (1 tbsp),30.0,0.5,0.0,6.0,,43500;
Sesame Oil (1 tsp),40.0,0.0,4.5,0.0,,62000;
Fish Sauce (1 tsp),5.0,0.4,0.0,0.5,,37500;
Green Onion (1 tbsp garnish),3.0,0.2,0.0,0.7,,5500;
Kombucha (16 oz),60.0,0.0,0.0,14.0,,40000;
Beef Wellington (1 slice),600.0,30.0,38.0,35.0,,51500;
Pate (Mushroom 2 tbsp),70.0,1.0,7.0,2.0,,43500;
Puff Pastry (1 oz wrapper),115.0,1.5,8.0,9.0,,36500;
Prosciutto (1 slice),35.0,4.0,2.5,0.0,,38500;
Asparagus (6 spears roasted),40.0,4.0,2.0,4.0,,16500;
Hollandaise Sauce (1 tbsp),55.0,0.5,6.0,0.2,,43000;
Flan (1 slice),220.0,6.0,7.0,35.0,,16500;
Caramel Sauce (1 tbsp),60.0,0.0,1.0,13.0,,13500;
Congee (1 cup plain),130.0,2.5,1.0,28.0,,12000;
Pickled Radish (1/4 cup),15.0,0.5,0.0,3.0,,30500;
Pork Floss (1 tbsp),50.0,4.0,2.0,3.0,,44500;
Century Egg (1 egg),100.0,7.0,7.0,1.0,,44500;
Arugula (2 cups),10.0,1.0,0.2,0.8,,26000;
Goat Cheese (1 oz),103.0,6.1,8.5,0.1,,78000;
Beets (1/2 cup roasted),30.0,0.8,0.1,6.8,,32500;
Walnuts (1 tbsp chopped),46.0,1.1,4.6,1.0,,45000;
Balsamic Glaze (1 tbsp),40.0,0.0,0.0,9.0,,21500;
Bobotie (1 serving),450.0,25.0,25.0,30.0,,23000;
Yellow Rice (1 cup),230.0,4.0,1.0,50.0,,31000;
Chutney (Mango 1 tbsp),45.0,0.1,0.1,11.0,,27500;
Malva Pudding (1 slice),380.0,5.0,14.0,60.0,,24500;
Custard (1/4 cup),80.0,3.0,3.0,10.0,,34500;
Bubble Tea (16 oz milk tea),320.0,2.0,4.0,70.0,,13500;
Tapioca Pearls (1/4 cup boba),100.0,0.0,0.0,25.0,,14000;
Paella (1.5 cups seafood),550.0,30.0,18.0,70.0,,32000;
Chorizo (1 oz in paella),130.0,6.0,11.0,1.0,,44500;
Saffron (pinch),1.0,0.0,0.0,0.1,,38500;
Aioli (Garlic 1 tbsp),95.0,0.1,10.5,0.5,,24500;
Gazpacho (1 cup),90.0,2.0,4.0,12.0,,41000;
Croutons (Garlic 1/4 cup),50.0,1.5,2.0,7.0,,25500;
Olive Oil (1 tsp garnish),40.0,0.0,4.5,0.0,,70500;
Churros (2 sticks),240.0,3.0,12.0,30.0,,18000;
Chocolate Sauce (1 tbsp dipping),50.0,0.5,1.5,10.0,,18500;
Cinnamon Sugar (1 tsp),20.0,0.0,0.0,5.0,,24000;
Horchata (1 cup),140.0,2.0,3.0,25.0,,27500;
Ceviche (1 cup fish),180.0,25.0,2.0,15.0,,13500;
Red Onion (1/4 cup in ceviche),16.0,0.3,0.0,3.7,,16500;
Cilantro (2 tbsp garnish),1.0,0.1,0.0,0.0,,38000;
Corn Nuts (1 oz),130.0,2.0,4.0,23.0,,40500;
Lomo Saltado (1.5 cups),500.0,35.0,22.0,45.0,,26000;
French Fries (as side),200.0,2.0,10.0,25.0,,12500;
Soy Sauce (1 tbsp in stir-fry),9.0,1.0,0.0,1.0,,28000;
Aji Amarillo Paste (1 tsp),5.0,0.1,0.0,1.0,,42000;
Pisco Sour (1 drink),250.0,1.0,0.0,25.0,,36500;
Egg White (in drink),17.0,3.6,0.0,0.2,,43000;
Angostura Bitters (dash),5.0,0.0,0.0,0.0,,42500;
Alfajores (1 cookie),180.0,2.0,10.0,22.0,,32500;
Dulce de Leche (1 tbsp filling),65.0,1.0,1.5,12.0,,40000;
Coconut (shredded garnish),10.0,0.1,1.0,0.5,,23500;
Mate (1 cup),5.0,0.2,0.0,1.0,,32500;
Media Luna (1 pastry),190.0,4.0,8.0,25.0,,6000;
Chimichurri (1 tbsp),45.0,0.1,4.5,0.5,,39500;
Skirt Steak (4oz grilled),240.0,26.0,15.0,0.0,,28500;
Provoleta (1 oz grilled cheese),100.0,7.0,8.0,1.0,,54500;
Oregano (1 tsp),3.0,0.1,0.0,0.7,,8500;
Empanada (Beef 1 medium),290.0,10.0,16.0,28.0,,37000;
Chicken Milanesa (1 serving),450.0,35.0,22.0,30.0,,22500;
Mashed Potatoes (side),150.0,3.0,4.0,25.0,,15500;
Choripan (1 sandwich),550.0,20.0,35.0,40.0,,24000;
Baguette (slice),70.0,2.5,0.5,14.0,,21500;
Pizza (Margherita 1 slice),250.0,12.0,10.0,30.0,,14500;
Fresh Mozzarella (1 oz),72.0,5.0,5.0,0.8,,9000;
Basil (2 tbsp fresh),1.0,0.1,0.0,0.1,,24500;
Carbonara (1.5 cups),650.0,25.0,35.0,60.0,,18500;
Guanciale (1 oz),170.0,3.0,18.0,0.0,,40500;
Pecorino Cheese (1 tbsp),25.0,1.5,2.0,0.1,,45500;
Black Pepper (1/4 tsp),1.0,0.0,0.0,0.2,,34500;
Egg Yolk (1 large in sauce),55.0,2.7,4.5,0.6,,11500;
Supplì (1 piece fried rice ball),200.0,8.0,8.0,25.0,,42000;
Aperol Spritz (1 drink),180.0,0.0,0.0,20.0,,19500;
Prosecco (3 oz),70.0,0.0,0.0,2.0,,42000;
Club Soda (2 oz),0.0,0.0,0.0,0.0,,30500;
Orange Slice (garnish),5.0,0.1,0.0,1.0,,20500;
Tagliatelle al Ragù (Bolognese),550.0,28.0,20.0,65.0,,38500;
Ground Beef (2 oz in sauce),140.0,11.0,10.0,0.0,,42000;
Pancetta (0.5 oz in sauce),45.0,1.5,4.5,0.0,,30000;
Carrot (1/4 minced in sauce),10.0,0.2,0.1,2.4,,30500;
Celery (1/4 stalk minced),2.0,0.1,0.0,0.4,,32500;
Onion (1/8 minced in sauce),5.0,0.1,0.0,1.2,,25500;
Crushed Tomatoes (1/2 cup sauce),20.0,1.0,0.0,4.0,,41000;
Parmigiano-Reggiano (1 tbsp),22.0,2.0,1.5,0.2,,8500;
Cannoli (1 medium),240.0,5.0,13.0,25.0,,6000;
Ricotta (filling 1 oz),49.0,3.2,3.8,0.8,,21500;
Pistachio (garnish),10.0,0.4,0.8,0.5,,18500;
Biscotti (1 cookie),110.0,2.0,4.0,18.0,,34000;
Espresso (for dipping),2.0,0.2,0.0,0.0,,20000;
Focaccia (1 square),250.0,8.0,7.0,40.0,,29000;
Rosemary (1 tsp topping),1.0,0.0,0.0,0.2,,43500;
Coarse Salt (garnish),0.0,0.0,0.0,0.0,,41000;
Olive Oil (1 tbsp drizzle),120.0,0.0,14.0,0.0,,72500;
Bruschetta (2 pcs),180.0,4.0,7.0,25.0,,17500;
Balsamic Glaze (1 tsp),13.0,0.0,0.0,3.0,,24500;
Ribollita (1.5 cups soup),350.0,15.0,8.0,55.0,,34500;
Cannellini Beans (1/2 cup in soup),105.0,7.0,0.5,20.0,,16500;
Kale (1 cup in soup),33.0,2.9,0.6,6.0,,10000;
Stale Bread (1/2 cup in soup),80.0,3.0,1.0,15.0,,17500;
Polenta (1 cup creamy),150.0,3.0,1.0,32.0,,16500;
Gorgonzola Cheese (1 oz),100.0,6.0,8.0,0.7,,61500;
Negroni (1 drink),190.0,0.0,0.0,15.0,,29500;
Gin (1 oz),70.0,0.0,0.0,0.0,,7500;
Campari (1 oz),80.0,0.0,0.0,10.0,,33000;
Sweet Vermouth (1 oz),40.0,0.0,0.0,5.0,,23500;
Orange Peel (garnish),1.0,0.0,0.0,0.2,,41500;
Osso Buco (1 serving),550.0,45.0,30.0,15.0,,22500;
Gremolata (1 tbsp),15.0,0.5,1.0,1.0,,13500;
Risotto alla Milanese (1 cup),350.0,10.0,12.0,50.0,,15500;
Saffron (pinch in risotto),1.0,0.0,0.0,0.1,,43500;
Panettone (1 slice),320.0,6.0,12.0,50.0,,21500;
Candied Fruit (1 tbsp),30.0,0.0,0.0,8.0,,5500;
Amaretti Cookie (2 cookies),90.0,2.0,4.0,12.0,,26500;
Limoncello (1.5 oz shot),150.0,0.0,0.0,18.0,,35500;
Panna Cotta (1 serving),300.0,4.0,20.0,25.0,,15000;
Berry Coulis (1 tbsp),20.0,0.0,0.0,5.0,,7500;
Saltimbocca (1 serving),380.0,38.0,22.0,5.0,,15000;
Prosciutto (1 slice wrapper),35.0,4.0,2.5,0.0,,26000;
Sage (2 leaves),1.0,0.0,0.0,0.1,,44000;
Polenta (grilled 1 slice),120.0,2.5,1.0,25.0,,8500;
Caponata (1/2 cup),180.0,2.0,14.0,15.0,,24500;
Eggplant (1/2 cup in caponata),40.0,0.5,2.0,6.0,,37000;
Pine Nuts (1/2 tbsp),48.0,1.0,5.0,1.0,,42500;
Raisins (1 tbsp),27.0,0.3,0.0,7.0,,41000;
Gelato (Pistachio 1/2 cup),220.0,5.0,12.0,24.0,,28500;
Waffle Cone (1 small),70.0,1.0,1.5,13.0,,10000;
Cacio e Pepe (1.5 cups),500.0,18.0,19.0,65.0,,26000;
Pecorino Romano (1/4 cup),110.0,7.5,8.5,1.0,,39500;
Black Pepper (1/2 tsp),3.0,0.1,0.0,0.7,,19500;
Fiorentina Steak (3oz portion),230.0,24.0,15.0,0.0,,66000;
Rosemary (garnish),1.0,0.0,0.0,0.2,,9500;
White Beans (Tuscan style 1/2 cup),150.0,8.0,4.0,20.0,,38000;
Garlic (1 clove in beans),4.0,0.2,0.0,0.9,,15500;
Sage (in beans),1.0,0.0,0.0,0.1,,32500;
Arancini (1 large ball),250.0,9.0,10.0,30.0,,40500;
Ragù (filling 1 tbsp),25.0,1.5,1.5,1.0,,40000;
Mozzarella (filling 0.5 oz),40.0,3.0,3.0,0.5,,31500;
Breadcrumbs (coating),25.0,0.5,0.5,4.0,,11000;
Campari & Soda (1 drink),85.0,0.0,0.0,10.0,,28000;
Olive (garnish),5.0,0.0,0.5,0.1,,19500;
Vitello Tonnato (1 serving),380.0,35.0,25.0,3.0,,19000;
Tuna Sauce (2 tbsp),100.0,4.0,9.0,1.0,,63500;
Capers (garnish),2.0,0.2,0.1,0.4,,28500;
Lemon Slice (garnish),1.0,0.0,0.0,0.3,,24000;
Gnocchi alla Sorrentina (1.5 cups),450.0,15.0,18.0,60.0,,19500;
Tomato Sauce (1/2 cup),40.0,1.5,1.0,7.0,,40000;
Mozzarella (1 oz melted),80.0,6.0,6.0,1.0,,36000;
Basil (fresh garnish),1.0,0.1,0.0,0.0,,42000;
Pesto (1/4 cup),290.0,5.0,29.0,4.0,,5500;
Pine Nuts (1 tbsp in pesto),95.0,2.0,10.0,2.0,,12500;
Garlic (1/2 clove in pesto),2.0,0.1,0.0,0.5,,27500;
Trofie Pasta (1 cup cooked),210.0,7.0,1.0,43.0,,34000;
Green Beans (1/2 cup w/ pasta),15.0,0.9,0.1,3.5,,21000;
Potato (1/2 w/ pasta),65.0,1.0,0.1,15.0,,21000;
Espresso Martini (1 drink),280.0,0.5,0.0,25.0,,7500;
Vodka (1.5 oz),97.0,0.0,0.0,0.0,,26000;
Coffee Liqueur (1 oz),100.0,0.0,0.0,15.0,,30000;
Espresso (1 oz in drink),3.0,0.3,0.1,0.0,,12500;
Simple Syrup (1/2 oz),30.0,0.0,0.0,8.0,,30500;
Coffee Beans (3 garnish),2.0,0.1,0.0,0.3,,22000;
Baba Ganoush (1/4 cup),100.0,2.0,7.0,8.0,,40500;
Pita Bread (1 white),165.0,5.5,1.2,33.0,,23500;
Falafel (3 pieces),180.0,6.0,9.0,18.0,,6500;
Tahini Sauce (1 tbsp),30.0,1.0,2.5,1.5,,39000;
Pickled Turnips (2 tbsp),10.0,0.2,0.0,2.0,,29500;
Shawarma (Chicken 1 wrap),550.0,30.0,25.0,50.0,,38500;
Garlic Sauce (1 tbsp),90.0,0.1,10.0,1.0,,38500;
Hummus (1/4 cup),130.0,5.0,8.0,10.0,,34000;
Tabouli (1/2 cup),120.0,3.0,6.0,15.0,,37000;
Bulgur (1/4 cup in tabouli),76.0,2.7,0.2,16.8,,8000;
Parsley (1/4 cup in tabouli),5.0,0.3,0.1,1.0,,24500;
Mint (1 tbsp in tabouli),1.0,0.1,0.0,0.1,,17500;
Lemon Juice (1 tbsp dressing),4.0,0.1,0.0,1.3,,26000;
Olive Oil (1 tbsp dressing),120.0,0.0,14.0,0.0,,59000;
Kibbeh (1 piece fried),230.0,9.0,13.0,20.0,,11500;
Pine Nuts (1/2 tbsp filling),48.0,1.0,5.0,1.0,,16000;
Ground Lamb (1 oz filling),80.0,5.5,6.0,0.0,,40500;
Bulgur (1 tbsp shell),15.0,0.5,0.0,3.4,,40000;
Lentil Soup (1 cup Middle Eastern),200.0,10.0,5.0,30.0,,5500;
Cumin (1 tsp),8.0,0.3,0.5,1.5,,9500;
Coriander (1 tsp),5.0,0.1,0.2,1.0,,19000;
Lemon Juice (1 tsp in soup),1.0,0.0,0.0,0.4,,19000;
Pita Crisps (1 oz),130.0,3.0,5.0,18.0,,33000;
Manakeesh (Za'atar 1 small),300.0,7.0,10.0,45.0,,12000;
Za'atar (1 tbsp),40.0,1.0,3.0,3.0,,18500;
Olive Oil (1 tbsp on bread),120.0,0.0,14.0,0.0,,84000;
Labneh (2 tbsp),60.0,4.0,4.0,2.0,,9500;
Cucumber (1/4 cup side),8.0,0.3,0.0,1.8,,15000;
Tomato (1/4 cup side),8.0,0.3,0.1,1.8,,6500;
Olives (5 side),35.0,0.2,3.5,1.0,,35000;
Mint Tea (1 cup),2.0,0.1,0.0,0.5,,26500;
Stuffed Grape Leaves (3 pcs),150.0,3.0,7.0,20.0,,7500;
Rice (1/4 cup filling),51.0,1.1,0.1,11.1,,10500;
Turkish Coffee (1 small cup),5.0,0.2,0.0,0.5,,10000;
Cardamom (in coffee),1.0,0.0,0.0,0.2,,8500;
Shish Tawook (2 skewers),300.0,35.0,16.0,5.0,,16500;
Garlic Sauce (Toum 1 tbsp),90.0,0.1,10.0,1.0,,21500;
French Fries (side),340.0,4.0,17.0,44.0,,41500;
Pickled Cucumber (1/4 cup),10.0,0.5,0.0,2.0,,9500;
Fattoush Salad (1.5 cups),250.0,5.0,15.0,25.0,,42500;
Fried Pita (1/2 pita in salad),80.0,2.0,3.0,12.0,,20000;
Sumac (1/2 tsp dressing),5.0,0.1,0.2,1.0,,22000;
Pomegranate Molasses (1 tsp),15.0,0.0,0.0,4.0,,31500;
Marie duo,15.0,1.0,3.5,14.0,,30500;
Kacang lebui / iris,346.0,16.5,1.5,66.6,,34500;
The coffe bean & tea leaf pure vanilla ice blended drink,410.0,15.0,9.0,70.0,,31500;
Dairy queen banana split,520.0,9.0,14.0,92.0,,33500;
Baked lotus paste mooncake with two egg yolks,223.0,4.05,13.79,20.5,,25500;
Cumi-cumi,75.0,16.1,0.7,0.1,,6000;
The coffe bean & tea leaf black forest ice blended drink,490.0,12.0,10.0,89.0,,30500;
Coklat silverqueen almond,170.0,4.0,11.0,14.0,,13000;
Kopi hitam tanpa gula,2.0,0.28,0.05,0.09,,40000;
Tumis keumamah,300.0,14.5,20.0,15.5,,5500;
Regal Biskuit Marie,70.0,1.0,2.0,12.0,,9000;
Teh hijau daun kering,300.0,28.3,4.8,53.6,,43500;
Susu ultra milk rasa coklat 200 ml,160.0,6.0,4.0,24.0,,8000;
Frisian flag putih (kental manis),140.0,1.0,4.0,23.0,,10000;
Sedaap Kecap Manis,70.0,1.0,0.0,16.0,,28500;
Outback steackhouse slow roasted prime rib,700.0,46.0,57.0,0.0,,38000;
Es krim Diamond vanilla,110.0,2.0,6.0,12.0,,12000;
